DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2018-02,352.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2018-03,481.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2018-04,325.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2018-05,503.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2018-06,534.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2018-07,599.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2018-08,446.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2018-09,547.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2018-10,568.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2018-11,531.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2018-12,456.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2019-01,560.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2019-02,445.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2019-03,360.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2019-04,472.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2019-05,588.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2019-06,465.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2019-07,656.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2019-08,630.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2019-09,526.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2019-10,512.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2019-11,547.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2019-12,443.000,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2020-01,560.517,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2020-02,617.669,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2020-03,463.600,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2020-04,461.317,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2020-05,371.806,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2020-06,379.260,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2020-07,502.361,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2020-08,588.780,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2020-09,597.874,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2020-10,594.574,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2020-11,433.271,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2020-12,489.901,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2021-01,562.322,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2021-02,361.639,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2021-03,465.927,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2021-04,473.588,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2021-05,534.161,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2021-06,544.325,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2021-07,391.046,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2021-08,528.875,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2021-09,407.364,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2021-10,671.880,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2021-11,505.292,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2021-12,428.427,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2022-01,597.812,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2022-02,514.942,
ESTAT:NRG_CB_GASM(1.0),21/06/22 23:00:00,M,IMP,G3000,MIO_M3,PT,2022-03,490.127,
