DATAFLOW,LAST UPDATE,freq,unit,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1979-01,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1979-02,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1979-03,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1979-04,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1979-05,0.01,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1979-06,0.19,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1979-07,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1979-08,0.88,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1979-09,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1979-10,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1979-11,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1979-12,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1980-01,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1980-02,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1980-03,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1980-04,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1980-05,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1980-06,0.27,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1980-07,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1980-08,1.09,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1980-09,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1980-10,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1980-11,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1980-12,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1981-01,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1981-02,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1981-03,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1981-04,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1981-05,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1981-06,1.21,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1981-07,0.17,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1981-08,2.92,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1981-09,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1981-10,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1981-11,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1981-12,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1982-01,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1982-02,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1982-03,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1982-04,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1982-05,0.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,CDD,AT,1982-06,0.04,
